time,/jointset/shoulder0/elv_angle/value,/jointset/shoulder1/shoulder_elv/value,/jointset/shoulder2/shoulder_rot/value,/jointset/elbow/elbow_flexion/value,/jointset/radioulnar/pro_sup/value,/jointset/shoulder0/elv_angle/speed,/jointset/shoulder1/shoulder_elv/speed,/jointset/shoulder2/shoulder_rot/speed,/jointset/elbow/elbow_flexion/speed,/jointset/radioulnar/pro_sup/speed,x,z,/tau_elv_angle,/tau_shoulder_elv,/tau_shoulder_rot,/tau_elbow_flexion,/tau_pro_sup
0.105,0.530231042,0.498937182,0.276189841,1.628472885,0.054165661,3.273527493,0.8399007,-0.303530463,1.499340764,-3.619455979,0.454432,0.207766,0.126107272,0.061306715,-0.015696746,0.02501426,-0.002040567
0.110833333,0.549577406,0.503997048,0.274195523,1.637475802,0.035108162,3.357396297,0.895501385,-0.37200409,1.585853828,-2.966250914,0.454432,0.207766,0.113874053,0.060697801,-0.013346856,0.024642411,-0.001992972
0.116666667,0.569375987,0.509391594,0.271945826,1.64695678,0.018956152,3.428572979,0.954648495,-0.391089443,1.66324698,-2.623288115,0.454432,0.207766,0.101640833,0.060088888,-0.010996966,0.024270563,-0.001945377
0.1225,0.589553993,0.515139543,0.269682342,1.656859738,0.004287854,3.487708249,1.016341609,-0.384718233,1.72986748,-2.389920069,0.454432,0.207766,0.090399678,0.059110441,-0.009617876,0.023340453,-0.001725171
0.128333333,0.610043837,0.521252002,0.267460292,1.66711307,-0.008740487,3.535488746,1.079623398,-0.376883628,1.783375491,-2.061017309,0.454432,0.207766,0.079158522,0.058131994,-0.008238786,0.022410343,-0.001504965
0.134166667,0.630780266,0.527737435,0.265294006,1.67762824,-0.019750405,3.572423583,1.144080215,-0.364830888,1.817821282,-1.724858498,0.454432,0.207766,0.068681284,0.056859428,-0.00770294,0.020486708,-0.001360605
0.14,0.651702041,0.53460108,0.263215741,1.688274268,-0.028992716,3.599035923,1.209295891,-0.346704891,1.828241103,-1.454980734,0.454432,0.207766,0.058204047,0.055586861,-0.007167095,0.018563073,-0.001216246
0.145833333,0.672749727,0.541846367,0.261247881,1.698901848,-0.036782511,3.615731657,1.274757944,-0.329231586,1.809901779,-1.213131178,0.454432,0.207766,0.048235126,0.053886429,-0.007169188,0.015935017,-0.001052733
0.151666667,0.693867122,0.549472737,0.259360218,1.709324469,-0.043114706,3.622936355,1.339953098,-0.319208829,1.75796952,-0.955232102,0.454432,0.207766,0.038266206,0.052185997,-0.00717128,0.013306962,-0.00088922
0.1575,0.714999299,0.557478033,0.257511707,1.719333695,-0.047931446,3.620879298,1.404568475,-0.315328931,1.666058314,-0.699258388,0.454432,0.207766,0.028463307,0.049999208,-0.007392038,0.009892829,-0.000744157
0.163333333,0.736093188,0.565857603,0.255672485,1.728671907,-0.051308147,3.609809066,1.468275619,-0.316024219,1.527907894,-0.461504251,0.454432,0.207766,0.018660409,0.04781242,-0.007612795,0.006478697,-0.000599094
0.169166667,0.757096506,0.574605431,0.253815325,1.7370605,-0.053329131,3.589884643,1.530705464,-0.321365006,1.338951898,-0.232049676,0.454432,0.207766,0.008838863,0.04502355,-0.007799732,0.002509176,-0.000446305
